Package Title,Version,Authors,Description,Declared License,Discovered License(s),Package Manager,Package Homepage,Dependency Path(s),Issue Resolution Notes
PromisesObjC,2.4.0,,"Promises is a modern framework that provides a synchronization construct for
Objective-C to facilitate writing asynchronous code.",Apache-2.0,,CocoaPods,https://github.com/google/promises,"MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Environment > PromisesObjC,GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Environment > PromisesObjC,GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilitiesComponents > GoogleUtilities/Logger > GoogleUtilities/Environment > PromisesObjC,MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Environment > PromisesObjC,GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Environment > PromisesObjC,GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleUtilities/UserDefaults > GoogleUtilities/Logger > GoogleUtilities/Environment > PromisesObjC,GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitVision > MLKitCommon > GoogleDataTransport > GoogleUtilities/Environment > PromisesObjC,mobile_scanner > GoogleMLKit/BarcodeScanning > MLKitBarcodeScanning > MLKitCommon > GoogleDataTransport > GoogleUtilities/Environment > PromisesObjC,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleDataTransport > GoogleUtilities/Environment > PromisesObjC,mobile_scanner > GoogleMLKit/BarcodeScanning > GoogleMLKit/MLKitCore > MLKitCommon > GoogleDataTransport > PromisesObjC",
ReachabilitySwift,5.2.2,ashleymills@mac.com,,MIT,BSD-2-Clause,CocoaPods,https://github.com/ashleymills/Reachability.swift,connectivity_plus > ReachabilitySwift,
TensorFlowLiteC,2.12.0,,"An internal-only pod containing the TensorFlow Lite C library that the public
`TensorFlowLiteSwift` and `TensorFlowLiteObjC` pods depend on. This pod is not
intended to be used directly. Swift developers should use the
`TensorFlowLiteSwift` pod and Objective-C developers should use the
`TensorFlowLiteObjC` pod.",,Apache-2.0,CocoaPods,https://github.com/tensorflow/tensorflow,"tflite_flutter > TensorFlowLiteSwift/Metal > TensorFlowLiteSwift/Core > TensorFlowLiteC,tflite_flutter > TensorFlowLiteSwift/CoreML > TensorFlowLiteSwift/Core > TensorFlowLiteC,tflite_flutter > TensorFlowLiteSwift > TensorFlowLiteSwift/Core > TensorFlowLiteC",
TensorFlowLiteC/Core,2.12.0,,"An internal-only pod containing the TensorFlow Lite C library that the public
`TensorFlowLiteSwift` and `TensorFlowLiteObjC` pods depend on. This pod is not
intended to be used directly. Swift developers should use the
`TensorFlowLiteSwift` pod and Objective-C developers should use the
`TensorFlowLiteObjC` pod.",,Apache-2.0,CocoaPods,https://github.com/tensorflow/tensorflow,"tflite_flutter > TensorFlowLiteSwift/Metal > TensorFlowLiteC/Metal > TensorFlowLiteC/Core,tflite_flutter > TensorFlowLiteSwift/CoreML > TensorFlowLiteC/CoreML > TensorFlowLiteC/Core,tflite_flutter > TensorFlowLiteSwift/Metal > TensorFlowLiteSwift/Core > TensorFlowLiteC > TensorFlowLiteC/Core,tflite_flutter > TensorFlowLiteSwift/CoreML > TensorFlowLiteSwift/Core > TensorFlowLiteC > TensorFlowLiteC/Core,tflite_flutter > TensorFlowLiteSwift > TensorFlowLiteSwift/Core > TensorFlowLiteC > TensorFlowLiteC/Core",
TensorFlowLiteC/CoreML,2.12.0,,"An internal-only pod containing the TensorFlow Lite C library that the public
`TensorFlowLiteSwift` and `TensorFlowLiteObjC` pods depend on. This pod is not
intended to be used directly. Swift developers should use the
`TensorFlowLiteSwift` pod and Objective-C developers should use the
`TensorFlowLiteObjC` pod.",,Apache-2.0,CocoaPods,https://github.com/tensorflow/tensorflow,tflite_flutter > TensorFlowLiteSwift/CoreML > TensorFlowLiteC/CoreML,
TensorFlowLiteC/Metal,2.12.0,,"An internal-only pod containing the TensorFlow Lite C library that the public
`TensorFlowLiteSwift` and `TensorFlowLiteObjC` pods depend on. This pod is not
intended to be used directly. Swift developers should use the
`TensorFlowLiteSwift` pod and Objective-C developers should use the
`TensorFlowLiteObjC` pod.",,Apache-2.0,CocoaPods,https://github.com/tensorflow/tensorflow,tflite_flutter > TensorFlowLiteSwift/Metal > TensorFlowLiteC/Metal,
TensorFlowLiteSwift,2.12.0,,"TensorFlow Lite is TensorFlow's lightweight solution for Swift developers. It
enables low-latency inference of on-device machine learning models with a
small binary size and fast performance supporting hardware acceleration.",Apache-2.0; BSD-2-Clause,,CocoaPods,https://github.com/tensorflow/tensorflow,tflite_flutter > TensorFlowLiteSwift,
TensorFlowLiteSwift/Core,2.12.0,,"TensorFlow Lite is TensorFlow's lightweight solution for Swift developers. It
enables low-latency inference of on-device machine learning models with a
small binary size and fast performance supporting hardware acceleration.",Apache-2.0; BSD-2-Clause,,CocoaPods,https://github.com/tensorflow/tensorflow,"tflite_flutter > TensorFlowLiteSwift/Metal > TensorFlowLiteSwift/Core,tflite_flutter > TensorFlowLiteSwift/CoreML > TensorFlowLiteSwift/Core,tflite_flutter > TensorFlowLiteSwift > TensorFlowLiteSwift/Core",
TensorFlowLiteSwift/CoreML,2.12.0,,"TensorFlow Lite is TensorFlow's lightweight solution for Swift developers. It
enables low-latency inference of on-device machine learning models with a
small binary size and fast performance supporting hardware acceleration.",Apache-2.0; BSD-2-Clause,,CocoaPods,https://github.com/tensorflow/tensorflow,tflite_flutter > TensorFlowLiteSwift/CoreML,
TensorFlowLiteSwift/Metal,2.12.0,,"TensorFlow Lite is TensorFlow's lightweight solution for Swift developers. It
enables low-latency inference of on-device machine learning models with a
small binary size and fast performance supporting hardware acceleration.",Apache-2.0; BSD-2-Clause,,CocoaPods,https://github.com/tensorflow/tensorflow,tflite_flutter > TensorFlowLiteSwift/Metal,
Toast,4.1.1,scalessec@gmail.com,,MIT,,CocoaPods,https://github.com/scalessec/Toast,fluttertoast > Toast,
